Condition,Number,Sentence,Response,,
AnotAwh,1,丽丽 会不会 在 回国之前 带 什么东西 给 妈妈,小胖说：“嗯，会的。”,,
JustAwh,2,小陈 会 在 下课以后 抄 什么东西 给 同桌,小胖说：“嗯，会的。”,,
AnotAnp,3,张敏 会 不 会 在 放假之后 捎 一些东西 给 同学,小胖说：“嗯，会的。”,,
JustAnp,4,李伟 会 在 大年三十 送 一些东西 给 女儿,小胖说：“嗯，会的。”,,
AnotAwh,5,老王 会不会 在 高考之前 写 什么东西 给 儿子,小胖说：“一封鼓励信。”,,
JustAwh,6,王伟 会 在 新年假期 寄 什么东西 给 朋友,小胖说：“小零食。”,,
AnotAnp,7,小张 会 不 会 在 体育课上 教 一些东西 给 学生,小胖说：“跆拳道的基本姿势。”,,
JustAnp,8,老李 会 在 退休之后 留 一些东西 给 同事,小胖说：“他的旧电脑”,,
AnotAwh,9,明明 会不会 在 约会之前 买 什么东西 给 女友,小胖说：“嗯，会的。”,,
JustAwh,10,琳琳 会 在 上课之前 传 什么东西 给 老师,小胖说：“嗯，会的。”,,
AnotAnp,11,珍珍 会 不 会 在 每天早晨 喂 一些东西 给 小猫,小胖说：“嗯，会的。”,,
JustAnp,12,老赵 会 在 搬家之前 赠 一些东西 给 邻居,小胖说：“嗯，会的。”,,
AnotAwh,13,老张 会不会 在 开学之前 做 什么东西 给 孙子,小胖说：“一个风筝”,,
JustAwh,14,小王 会 在 期末之前 交 什么东西 给 导师,小胖说：“论文初稿。”,,
AnotAnp,15,小刘 会 不 会 在 返校之前 拿 一些东西 给 舍友,小胖说：“家乡的特产。”,,
JustAnp,16,东东 会 在 大年初一 邮 一些东西 给 姑姑,小胖说：“糖炒栗子。”,,
AnotAwh,17,老李 会不会 在 秋收之后 摘 什么东西 给 孙子,小胖说：“嗯，会的。”,,
JustAwh,18,娟姐 会 在 小院里面 种 什么东西 给 侄女,小胖说：“嗯，会的。”,,
AnotAnp,19,任总 会 不 会 在 总结会上 分 一些东西 给 手下,小胖说：“嗯，会的。”,,
JustAnp,20,笑笑 会 在 保险箱里 存 一些东西 给 哥哥,小胖说：“嗯，会的。”,,
AnotAwh,21,小宝 会不会 在 放学路上 捡 什么东西 给 哥哥,小胖说：“玻璃球。”,,
JustAwh,22,陶陶 会 在 美术课上 画 什么东西 给 爸爸,小胖说：“牡丹花。”,,
AnotAnp,23,萍萍 会 不 会 在 做晚饭时 炒 一些东西 给 老公,小胖说：“青椒肉丝”,,
JustAnp,24,明明 会 在 过生日前 选 一些东西 给 爷爷,小胖说：“手工制作的烟斗。”,,
AnotAwh,25,小林 会不会 在 发工资后 挑 什么东西 给 奶奶,小胖说：“嗯，会的。”,,
JustAwh,26,佳佳 会 在 回家之后 煮 什么东西 给 姐姐,小胖说：“嗯，会的。”,,
AnotAnp,27,小李 会 不 会 在 双十一时 卖 一些东西 给 客户,小胖说：“嗯，会的。”,,
JustAnp,28,小毛 会 在 情人节前 挑 一些东西 给 老婆,小胖说：“嗯，会的。”,,
AnotAwh,29,亮亮 会不会 在 楼下花坛 藏 什么东西 给 弟弟,小胖说：“玻璃球。”,,
JustAwh,30,小刘 会 在 快过年时 搬 什么东西 给 表妹,小胖说：“单位发的大米。”,,
AnotAnp,31,护士 会 不 会 在 做手术时 递 一些东西 给 医生,小胖说：“手术剪。”,,
JustAnp,32,玲玲 会 在 才艺展上 捏 一些东西 给 妹妹,小胖说：“泥做的小象。”,,
